character,pinyin,similarity
伙,huo,0.572571798393043
𢝉,dā,0.5724156941411817
諀,bēi,0.5718201730705466
俎,zǔ,0.5704372086585132
䛥,xīn,0.5703915068562028
伊,yī,0.5702832726569136
詆,dǐ,0.569790867078802
諑,zhuó,0.5695751200398218
僧,sēng,0.5693734137761649
訴,sù,0.5692824477691396
仚,xiān,0.5689346046630989
譏,jī,0.5687769190822607
譶,tà,0.5683245361409589
偦,xǔ,0.5682605060009168
諗,shěn,0.5681103056139852
詮,quán,0.5680744237600047
誾,yín,0.5680595537491621
忐,kěng,0.5675464735436019
呼,hū,0.5671300963195433
佛,fú,0.5668668994251115
𠻨,qǐn,0.5665131882958544
個,gě,0.5662900930043762
喉,hóu,0.5662816860059836
吟,yǐn,0.5662062177354131
懽,guàn,0.5657161621159437
䜒,ào,0.5653504740012666
仔,zǐ,0.5652620407078564
噞,yǎn,0.5649413004654417
惄,nì,0.5647994385884717
噤,jìn,0.564746784704671
怛,dá,0.5647128114902956
什,shí,0.5643910926106471
忪,zhōng,0.5621250118790909
債,zhài,0.5617560466498892
譧,lián,0.5613498113258736
䛩,qià,0.5613498113258736
誽,ná,0.5613498113258736
訑,tuǒ,0.5613498113258736
諥,zhòng,0.5611928399197621
㦊,huá,0.5607462251560169
𠽣,zhǎ,0.5604545133863995
誅,zhū,0.5596079202551013
謜,yuán,0.5588830764567628
憪,xián,0.5587392242191983
悶,mèn,0.5585389205099921
僜,dēng,0.5581688327349255
䜕,hài,0.5578429800954878
听,yí,0.5574669291218163
愍,mǐn,0.5566057988019876
惻,cè,0.5566057988019876
倲,dòng,0.5565316023047415
做,zuò,0.556290654114359
僰,bó,0.5560469216319903
訍,chā,0.554050919409591
𧧃,𧧃jì,0.554050919409591
譥,jiào,0.554050919409591
𠱞,rǎn,0.5539526838200733
𠲏,rěn,0.5539526838200733
𠹥,dā,0.5539526838200733
㗼,yè,0.5539526838200733
吷,xuè,0.5538452506645418
令,lǐng,0.5536818527549957
𧦮,𧦮ná,0.5533030376835456
含,hàn,0.553165778664453
唫,jìn,0.5530557269902503
佛,fó,0.5526810360567902
𢠼,mái,0.5525954105733241
但,yàn,0.5520868092006015
慛,cuī,0.5519675342617856
慼,ī,0.5519675342617856
詹,zhān,0.5516371863593951
譫,zhān,0.5516371863593951
息,xī,0.5514669851332932
㑣,㑣lán,0.5514500783510075
㤝,chōng,0.550339384242126
謯,jiē,0.5501225155761461
怚,cū,0.5498715426262066
喇,la,0.549682972584738
𢙿,jìn,0.5495622375145377
囂,áo,0.5492158304334045
誻,tà,0.5484797915852085
欠,qiàn,0.5483360580413568
侏,zhū,0.5478628276920069
儻,chèng,0.547169775663255
謬,miù,0.5469341779949266
諷,fěng（旧读fèng）,0.5465319466011676
嗌,ài,0.5461439345488975
愖,xìn,0.5457940670654289
位,wèi,0.5454059369724223
謫,zhé,0.5448486425423044
傌,mǎ,0.5447918596999827
誧,bū,0.5447250437695702
誧,bū,0.5447250437695702
惴,zhuì,0.5445283382708791
嗉,ù,0.5443659185982546
唾,tuò,0.5443633658535236
訓,xùn,0.5442754009562699
嚛,hù,0.5442639800391553
倉,cāng,0.5441969876870327
噫,ài,0.5440693329978845
俥,chē,0.5440688113331896
侲,zhēn,0.5438158724229989
詼,huī,0.5436193210571714
𢖳,xū,0.5435340719481484
慇,yīn,0.5435340719481484
悝,lǐ,0.5435340719481484
誑,kuáng,0.5433832614656092
估,gū（又读gǔ）,0.543300685872262
忚,liě,0.5427628271359286
咬,yāo,0.5427575992187137
詩,shī,0.5419396540246133
侁,shēn,0.5417950733435382
𣢖,qiàn,0.5416962672582007
諸,zhū,0.5414067621550374
僬,jiāo,0.5414009528883562
傒,xī,0.5413734745240658
𡀗,shī,0.5410078903879536
俑,yǒng,0.5408830285412612
𠊔,𠊔qì,0.5408662744931708
誹,fěi,0.5405814850719566
䚷,yǐ,0.5399590707476413
𧩰,𧩰biàn,0.5394718559521172
詔,zhào,0.5394442983683805
讎,chóu,0.5394039167742731
䜆,mò,0.5389419513354016
𧫬,𧫬lí,0.5386131640592613
囊,nāng,0.5383223682306183
諰,xǐ,0.5381153479628024
讀,dòu,0.5381017797714029
譑,qiào,0.5380921880147186
讝,讝zhān,0.5378403873323938
慅,sāo,0.5377913619443516
吪,huā,0.5376679387254925
欽,qīn,0.5371288688819059
俘,fú,0.5367092916147503
僭,jiàn,0.535614013912545
嗢,wà,0.5348399208470758
偓,wò,0.5346380095191896
䜐,huī,0.5345639101093825
謗,bàng,0.5345639101093825
𧧉,𧧉tuō,0.5345639101093825
唊,qiǎn,0.534428254517364
愴,chuàng,0.5340497745931075
怊,chāo,0.5340497745931075
㤈,qìn,0.5340497745931075
𠰾,jū,0.5340234134045971
𠯀,chuān,0.5338972274282736
嗾,sǒu,0.5337693312585519
誘,yòu,0.5337197610939748
哺,bǔ,0.5335192562445978
懆,cǎo,0.5332312027657016
愓,shāng,0.5331296689084911
𧪘,cuò,0.533088030415692
謁,yè,0.5329797749450342
呷,xiā,0.5320750812489815
㒈,hàn,0.5317647384621831
誏,làng,0.5316792812499647
𠇋,𠇋dǎn,0.5309118146010384
𢡁,xī,0.5305495202062971
俸,fèng,0.5299794649908385
𡃸,cí,0.5294631452746901
欠,qian,0.5292742346860764
諀,pǐ,0.529015723934604
𢟳,lǜ,0.5284041797379971
懰,liú,0.5271893761492031
份,fèn,0.5268300799160911
儤,儤bào,0.5264179493332531
僅,jǐn,0.5259564294127688
呹,yì,0.5253975711704483
諵,nàn,0.524920331483943
𠾬,jìn,0.5248856066997825
㦩,ǐn,0.5246789382633256
𧧸,bié,0.5246496204467728
詖,bì,0.5246496204467728
懕,yān,0.5245541488800258
𢤰,iè,0.5244157230575583
噬,shì,0.5240438544745031
愓,táng,0.5238798146054868
𠈶,𠈶yí,0.5238265212433109
伯,bǎi,0.5236786432626658
㤕,pò,0.5236106943009122
𢠺,bó,0.5236106943009122
惆,chóu,0.5236018549704066
惝,hǎng（又读tǎng）,0.5236018549704066
𠯷,réng,0.5233442010610226
諫,jiàn,0.5230488653790616
諍,zhèng（又读zhēng）,0.5230488653790616
愁,chóu,0.5230411474230076
謊,huǎng,0.5227107452101944
忑,tè,0.5224439945148284
忑,dǎo,0.5224439945148284
愉,yú,0.5216653301539894
𢘉,xiá,0.5216653301539894
詉,nù,0.5215850916268457
詣,yì,0.5214270118188457
𠻧,gù,0.5212943853480331
嗌,yì,0.5212943853480331
喖,hú,0.5212943853480331
謤,biāo,0.5211140136937379
䛹,xuàn,0.5211101997695097
譴,qiǎn,0.5210374839669581
䜚,tà,0.5207448299075627
仞,rèn,0.5207011984605528
优,yóu,0.5203667518890213
喙,huì,0.5202227019488881
儉,jiǎn,0.5200977174641126
佩,pèi,0.5199758715116214
訔,yín,0.5198710577280791
誡,jiè,0.51983091888828
䚿,xī,0.5197989741111531
𢜲,ná,0.5195401372558356
𢞇,rě,0.5195401372558356
憹,náng,0.5195401372558356
慖,uó,0.5195401372558356
愍,fēn,0.5195401372558356
𢤩,lì,0.5194115746732272
諢,hùn,0.5192984856643208
𠐡,𠐡bèi,0.5190699320651051
諯,zhuān,0.5189990471796064
讓,ràng,0.5189990471796064
𧫢,wàng,0.5189990471796064
𧭊,𧭊méng,0.5177420036307206
憕,zhèng,0.5172060424073629
惶,huáng,0.5170480430666288
愯,sǒng,0.5170480430666288
惵,dié,0.5170480430666288
悚,sǒng,0.5170480430666288
悎,hào,0.5170480430666288
恫,dòng,0.5170480430666288
怶,pī,0.5170480430666288
怵,xù,0.5170480430666288
懼,jù,0.5170480430666288
怌,ēi,0.5170480430666288
㤉,qiā,0.5170480430666288
怐,jù,0.5170480430666288
慴,shè（旧读zhé）,0.5170480430666288
𢛒,chǒng,0.5170480430666288
𢠹,sī,0.5170480430666288
𢦈,mán,0.5170480430666288
𧭈,nìng,0.517045540187732
恇,kuāng,0.5165518294327714
態,tài,0.5161824619791505
𠰺,dài,0.5157244361867389
㗬,zhā,0.5157194651692515
䛁,nán,0.5157124098597898
儎,zài,0.5154208791409585
𡃂,xiè,0.5154178736700684
䛚,䛚lüè,0.515375704176906
悖,bèi,0.5152996251809745
惑,huò,0.5145340020441923
悽,qī,0.5143890527467878
𧫗,𧫗chà,0.512601431015886
𧪘,chài,0.512601431015886
㤋,fēn,0.5123830282815302
𧩲,𧩲là,0.5122949341586308
䜏,tuō,0.5122214172633546
𠾩,là,0.5110614815066287
譽,yù,0.5110173049832321
佬,lǎo,0.510851361429455
吐,tǔ,0.5108235601232645
偶,ǒu,0.5106436094319546
𠽫,xiā,0.5104612795952531
欷,xī,0.5103729764004484
諛,yú,0.5102013568241544
誨,huì,0.5097687435659926
悕,ī,0.5097573975808062
僮,tóng,0.5093587759275796
僜,chēng,0.5092270709771581
𠯭,pǐ,0.5091798379310034
讚,zàn,0.5091585843973347
慟,tòng,0.5089776589915022
侯,hóu,0.508595439407917
忶,ún,0.5083798488250735
悇,tú,0.5075903345283538
詙,bó,0.5074733894654803
噲,kuài,0.5073040850668763
悼,dào,0.5069267859010379
㤨,gǒng,0.5069267859010379
愃,xuān,0.5066974704472389
侇,yí,0.5066685415830817
𧦭,xī,0.5065788240973585
𢦅,hǒng,0.5063870220326151
訒,rèn,0.5063330049758865
𧩦,𧩦jí,0.5060215093856326
𡀑,zhōu,0.5059738198212055
僾,ài,0.5051904751448766
𧨴,𧨴zì,0.504989340196343
𢣚,nǐ,0.5046042843212318
