cluster_label
0
6
8
3
3
8
3
6
3
3
6
7
9
3
3
1
3
8
3
3
6
3
0
1
3
7
1
3
3
3
9
6
3
1
3
4
9
3
8
3
3
8
7
1
3
8
8
1
3
0
1
3
8
6
5
3
3
3
3
1
1
6
6
3
5
3
3
3
8
3
6
1
8
3
6
1
8
1
8
0
1
3
3
1
8
8
8
3
1
3
1
9
1
0
8
1
1
2
2
2
2
8
6
6
1
1
3
3
1
3
3
8
3
3
3
3
3
3
3
3
1
1
5
8
3
5
3
3
8
3
3
6
3
3
6
4
1
3
7
6
1
6
1
3
3
3
8
8
1
3
3
3
8
9
3
0
1
1
6
1
3
3
1
8
0
3
6
0
8
3
3
3
3
0
8
8
1
6
8
1
3
3
3
3
3
3
3
6
9
1
3
1
3
3
6
8
6
1
8
3
1
1
6
3
1
3
6
3
7
1
3
0
1
3
6
8
7
3
3
1
3
7
3
3
8
8
3
1
1
3
6
0
6
1
1
0
6
3
3
1
7
6
8
1
6
3
3
0
