Vector1,Vector2,Color,Meaning
73.732025,28.382637,red,古:连词
-79.714516,20.28307,red,古:〔古成〕姓
23.713089,-21.118046,red,句:曲，弯曲
-34.59505,-0.9331854,red,句:〔句當〕今作“勾当”
52.98716,16.223995,red,句:语句；诗句
7.4059744,0.05180931,red,句:鞋头上的装饰
-1.949358,-1.9386336,red,另:分居
34.082695,-10.131934,red,叨:谦辞
-16.21271,-41.069645,red,叨:〔嘮叨〕见“嘮”
2.869479,-34.105366,red,叩:击，敲
54.986485,19.8851,red,只:语气词
-36.50119,3.9828584,red,只:作，做
-22.104166,-37.636898,red,只:“隻”的简化字
52.3457,-3.5507636,red,叫:呼喊
35.241093,-0.884239,red,召:召唤
-79.714516,20.28307,red,召:姓
50.062054,-36.8226,red,叭:象声词
3.1232982,-27.650045,red,叭:佛教“六字真言”之一
-18.07373,41.222233,red,叭:〔喇叭〕见“喇”
-9.879466,-33.648323,red,叮:〔叮嚀〕反复申说
-0.2522995,14.738955,red,可:表示许可、肯定
0.0068558045,-38.077354,red,可:女师
-32.015007,-0.78621083,red,可:〔可汗〕也作“可寒”、“合罕”
-28.111856,8.855473,red,台:我
16.964449,-45.755688,red,台:〔三台〕星名
22.820889,-29.628916,red,台:鱼名
16.766079,76.69223,red,台:地名
-29.969568,-35.34373,red,台:通“始（shǐ）”
49.860104,-1.962294,red,叱:大声呵斥、责骂
12.905784,-9.897883,red,史:古代文职官员
-44.607525,-18.992493,red,右:助，帮助
-1.8612894,-16.136885,red,右:右手
-44.607525,-18.992493,red,右:助，帮助
3.778939,29.324932,red,叴:〔叴叴〕傲气逼人貌
-12.610131,-5.5668764,red,叵:不可
-22.686522,-36.882477,red,叶:“葉”的简化字
49.599102,-3.6155553,red,号:大声哭
-6.2184563,3.4030063,red,司:掌管；主持
22.93361,9.565601,red,司:窥察；监视
-21.245115,-35.85017,red,叹:“嘆”的简化字
-22.083809,-22.25521,red,叺:《搜真玉鏡》：“叺，丑入切
-2.789064,-54.50486,red,叻:〔石叻〕马来语
51.36444,-38.30346,red,叻:象声词
-3.6958663,-6.787463,red,叼:用嘴衔住（物体的一部分）
-8.480548,-24.058035,red,叿:呵
80.58358,23.046513,red,吁:叹词
52.23972,-13.240141,red,吁:应答声
51.36444,-38.30346,red,吁:象声词
80.58358,23.046513,red,吂:叹词
-34.526573,23.715384,red,吂:老年迟钝貌
24.84143,14.957126,red,吃:说话结结巴巴不流利（旧读jí）
44.86885,-25.606897,red,吃:〔吃吃〕笑声
-40.001232,-9.832682,red,各:至，止
-12.009704,83.904495,red,各:方言
51.340366,-16.047361,red,吆:〔吆吆〕声
-4.9077783,-61.910732,red,吇:〔吇吇〕鸟叫声
-6.9848104,-11.292468,red,合:义项繁体字作“閤”
-20.103693,-17.49907,red,合:闭；合拢
7.9454794,1.2897722,red,合:旧容量单位，为市制一升的十分之一，约一百立方厘米
-43.197994,-23.93734,red,吉:善；吉祥
-79.714516,20.28307,red,吉:姓
-43.197994,-23.93734,red,吉:善；吉祥
-18.708351,-49.50719,red,吋:《川篇》田丑切
4.078831,-23.380043,red,吋:“英寸”的旧称
-8.776299,1.6902232,red,同:会合；聚集
-32.68551,-2.236334,red,同:〔胡同〕也作“衚衕”
-0.6352957,-0.021928985,red,名:人的名字
15.18886,-15.660238,red,后:君主
12.956881,-9.733581,red,吏:古代官员的通称
8.414692,7.8007364,red,吐:使东西从嘴里出来
-6.139116,-5.759601,red,吐:呕，不自主地从嘴里涌出
1.4468141,-16.117937,red,向:朝北的窗户
-0.11925041,-25.59862,red,向:*周*代国名
1.4468141,-16.117937,red,向:朝北的窗户
6.7208915,-8.31259,red,吒:神话传说中的人名用字
54.986485,19.8851,red,吓:语气词
-21.085281,-36.309006,red,吓:“嚇”的简化字
58.336464,5.563548,red,吔:佛经咒语译音用字，无实义
80.58358,23.046513,red,吔:叹词
23.572628,-22.548094,red,吕:脊骨
53.414345,-3.6766007,red,吖:喊
80.58358,23.046513,red,吖:叹词
-23.362041,1.2795721,red,吘:和，和吘
48.40107,-29.520214,red,吙:吐气；吐气声
50.5492,-37.127487,red,吚:象声词
8.693581,-6.6888795,red,君:古代大夫以上据有土地的各级统治者的通称
42.440205,-2.022233,red,吜:声音
8.173507,42.90618,red,吝:悔恨；遗憾
11.665544,-29.724098,red,吞:咽下
-79.714516,20.28307,red,吞:姓
29.618776,-10.519468,red,吟:吟咏；吟诵
-4.427717,-5.864247,red,吟:〔噤吟〕下巴下垂经常闭不住口的样子
14.2389555,-39.342712,red,吠:狗叫
-4.9077783,-61.910732,red,吡:〔吡吡〕鸟叫声
37.50042,-11.981053,red,吢:猫狗呕吐
29.87287,33.58098,red,吣:谩骂
30.870762,-29.610468,red,吤:喉中哽塞所出声
73.82377,35.42267,red,吤:助词
12.207761,-35.28705,red,吥:吸
-20.105045,49.787334,red,吥:〔嗊吥〕见“嗊”
67.74231,30.255999,red,否:副词
-14.762925,-12.146301,red,否:闭塞；阻隔不通
29.824026,20.220385,red,吧:〔吧呀〕小儿生气争吵
54.27939,19.532059,red,吧:语气词
-49.065308,-36.474545,red,吧:〔吧呀〕大口貌
24.870058,15.86704,red,吨:〔吨吨〕说话不清
-17.984886,-49.285202,red,吨:气相冲
-21.487059,-37.913765,red,吨:“噸”的简化字
-10.674449,17.636246,red,吩:〔吩咐〕嘱告；指派
33.18625,14.70719,red,吪:行动
-18.972795,-15.918645,red,吪:口开
-6.130202,-5.7484756,red,含:东西放在口里，不咽下也不吐出
-0.2520741,-8.318116,red,含:古代放在死者口里的珠、玉等物品
20.890606,-62.70861,red,听:笑貌
-12.859169,-13.628804,red,听:〔听嗞〕口开貌
-12.514579,-13.178158,red,听:〔听嗞〕也作“𠲻嗞”
28.83447,-26.906073,red,吭:鸟的喉咙
41.94961,-3.9308639,red,吭:嗓音
