character,meanings_vec_average
䨼,"[ 1.13700002e-01  1.70675009e-01  4.30599988e-01 -4.44249921e-02
  1.05250031e-02 -6.87249899e-02 -1.59375012e-01  7.50500038e-02
 -1.76624998e-01  3.71749997e-02  8.34499970e-02 -1.45149991e-01
  7.03250021e-02  3.97250056e-02 -1.43900007e-01  1.58099994e-01
  3.69499996e-02 -5.22750020e-02  8.74249935e-02 -1.07500050e-03
 -1.55750006e-01  3.87000032e-02 -7.64999725e-03 -8.25250000e-02
 -1.61500014e-02 -5.74249998e-02  2.71250010e-02  1.36750005e-02
 -6.44250065e-02  9.26249996e-02 -7.51000047e-02  1.77999996e-02
  7.52500026e-03 -3.83750014e-02 -6.29749969e-02  1.84749998e-02
  2.94000059e-02 -7.86499903e-02 -4.32499982e-02  1.26375005e-01
 -1.15250014e-02 -1.56900004e-01  8.51999968e-02 -1.83500014e-02
  9.25749987e-02  7.30749965e-02  1.78199992e-01 -6.90249950e-02
  7.83750042e-02  3.28750014e-02 -2.64750011e-02  5.19750006e-02
 -9.03999954e-02 -2.62425005e-01  5.00250012e-02  8.82500038e-02
  6.78500012e-02 -6.83249980e-02 -1.93000026e-02 -1.47524998e-01
  1.05674997e-01  4.06749956e-02  3.49749960e-02  2.89999954e-02
  8.50249976e-02  6.12499937e-03  1.80525005e-01 -1.45025015e-01
 -3.63500006e-02 -9.59250033e-02 -1.09025009e-01  7.88000003e-02
 -4.62499913e-03 -6.52499683e-03 -1.06450006e-01 -1.09750003e-01
  1.29800007e-01 -1.23749971e-02 -9.82499942e-02 -6.96000010e-02
  3.08750011e-02 -1.44249983e-02 -9.46749970e-02 -1.50625005e-01
 -1.34574994e-01 -1.74724996e-01  8.32499750e-03 -4.85499986e-02
 -3.59000005e-02  2.83724993e-01 -1.28525004e-01  7.72500038e-02
 -3.59250009e-02  7.11500049e-02 -5.44999987e-02  9.39999521e-03
  4.07500193e-03 -1.06950000e-01  3.02499998e-03 -5.37750013e-02
 -5.78749999e-02 -8.37250054e-02  9.02999938e-02  1.42975003e-01
  4.76499908e-02 -4.09500003e-02 -2.35974997e-01  4.37749997e-02
  1.13999993e-02 -3.02499905e-03  9.90000069e-02 -4.34999987e-02
  1.74575001e-01 -4.22999971e-02 -1.28250010e-02 -2.23999992e-02
  1.23000005e-02  7.02999979e-02 -1.08875006e-01 -9.13500041e-02
  8.40750039e-02 -1.05949998e-01 -2.85750031e-02  5.27250022e-02
  8.09999928e-03  3.23750004e-02 -5.55250011e-02  1.20299995e-01
  4.40500006e-02  8.66749957e-02 -1.75225005e-01  1.55175000e-01
 -4.55500036e-02  3.59250009e-02 -5.21249995e-02  3.87000032e-02
 -5.73749989e-02 -3.51499952e-02 -6.67749941e-02 -6.14250004e-02
  7.10249990e-02  8.56499970e-02 -1.57124996e-01 -3.98500003e-02
  3.04000005e-02  1.36600003e-01 -2.17249990e-02  2.63724983e-01
  5.86249977e-02  2.51750015e-02  8.30499977e-02 -1.08500011e-02
 -7.18749985e-02 -9.53500047e-02  2.88500004e-02  8.30499977e-02
 -3.59250009e-02  1.78250000e-02  1.73000023e-02  2.11500004e-02
  4.71500009e-02 -1.15224995e-01  8.94999877e-03 -5.78000024e-02
 -9.79999974e-02  1.61500014e-02 -2.70750001e-02  1.41500011e-02
  1.09999999e-03  1.49374992e-01  1.31999999e-02 -5.55749983e-02
 -1.38975009e-01 -1.15500018e-02  1.41674995e-01  3.72000039e-02
 -1.92499980e-02  3.03500015e-02 -1.70675009e-01  6.74249977e-02
  7.42249936e-02 -2.02700004e-01 -7.28750005e-02  1.01250010e-02
 -1.37000000e-02  8.42250064e-02 -1.09200001e-01 -3.46750021e-02
 -1.10699996e-01  2.85425007e-01  3.34999990e-03  1.07099995e-01
 -1.28224999e-01  3.67750004e-02 -1.86150014e-01  1.53500009e-02
  1.92000009e-02 -2.89000012e-02 -1.14450000e-01 -1.61325008e-01
  4.56000008e-02  1.17224999e-01 -3.53749990e-02  9.09999907e-02
 -2.77500004e-02  1.29249999e-02  1.59999970e-02  3.23500000e-02
 -3.65500003e-02  9.09499973e-02 -3.59999761e-03 -3.47499996e-02
 -8.01749974e-02 -4.67250012e-02 -3.35499980e-02  9.58250016e-02
 -6.25001267e-04  1.57500198e-03 -8.43250006e-02  1.01749972e-02
  1.17500000e-01  1.05125003e-01 -1.94250010e-02  1.68524995e-01
 -5.10499999e-02  7.71749988e-02  2.98749991e-02 -1.04924999e-01
 -4.22249995e-02 -1.56800002e-01  6.40750006e-02  7.50149965e-01
  1.68575004e-01 -1.23250009e-02  5.00008464e-05  1.29749998e-02
  1.59374997e-01  1.08824991e-01  1.55900002e-01  1.08525008e-01
 -1.84625000e-01  6.25001267e-04 -6.71750009e-02  5.34499995e-02
 -1.13600001e-01  9.88499969e-02 -6.19499981e-02  1.92400008e-01
  2.89000012e-02  1.09525003e-01  3.03249992e-02  7.00000003e-02
  1.14425004e-01 -1.09499991e-02 -1.03325002e-01 -8.12500250e-03
  1.00100003e-01  8.82750005e-02  1.08499993e-02 -7.37999976e-02
  9.65999961e-02 -1.47499982e-03 -7.11250007e-02  2.69249976e-02
 -5.18500023e-02  9.29500014e-02  4.56000008e-02  3.22499983e-02
 -6.18749969e-02  1.18050009e-01 -1.62750006e-01 -7.14749992e-02
 -4.76499982e-02  6.16749972e-02 -1.00175001e-01 -2.56749988e-02
  2.39749998e-02  8.83999988e-02  2.98250020e-02 -6.01000004e-02
 -3.40475023e-01  1.53324991e-01 -1.56125009e-01 -1.20150007e-01
 -1.41249999e-01 -1.29824996e-01 -8.36250037e-02  5.87500036e-02
 -3.53750028e-02 -6.03999943e-02 -1.14350006e-01 -1.31600007e-01
  1.09000001e-02  1.66524991e-01  7.37250000e-02 -7.51999989e-02
 -4.56000008e-02 -6.96250051e-02  1.21474996e-01  1.81250013e-02]"
青,"[ 6.97799996e-02  4.28730547e-02  3.54896635e-01 -9.61477831e-02
 -1.05591686e-02  2.52605584e-02 -6.17286116e-02 -2.96683256e-02
 -1.79418042e-01  1.95941683e-02 -3.35588902e-02  7.56874979e-02
  1.31638898e-02 -4.69813906e-02 -6.22833259e-02  8.82972255e-02
  2.51741651e-02 -9.63610888e-04  8.97699967e-02  6.87738881e-02
 -1.41666681e-02  2.88800001e-02  2.93233320e-02  1.07516646e-02
 -3.09736114e-02 -6.38172179e-02  4.89866622e-02 -9.95738879e-02
 -9.24111251e-03  5.59469424e-02  2.67563891e-02 -2.01127771e-02
  1.22385554e-01  2.63091680e-02 -1.96824986e-02  4.69036102e-02
 -5.72847165e-02 -1.41402766e-01  3.86255533e-02  8.18083528e-03
 -9.12499893e-03 -6.07355535e-02  6.04202747e-02 -4.91052754e-02
 -1.99911091e-02  6.14805520e-03  1.47267491e-01  5.15583437e-03
  1.42750016e-03  2.50052791e-02  2.57519465e-02 -7.01694423e-03
 -5.99513911e-02 -2.01326087e-01  4.57530618e-02  7.88472127e-03
  5.99738918e-02 -4.42686118e-02 -3.20161134e-02 -1.08180530e-02
  5.19249998e-02 -7.16905594e-02 -4.59916629e-02 -1.05586117e-02
 -3.03258318e-02 -6.25805324e-03  2.47727726e-02  1.67672224e-02
 -3.46591696e-02 -2.61611002e-03 -1.67999994e-02  1.04022495e-01
 -3.01055587e-03  1.12994434e-02 -6.83833435e-02 -5.98258264e-02
 -4.35527647e-03  2.13305559e-02 -6.28130585e-02 -2.74086054e-02
 -5.21475039e-02  2.64555705e-03 -4.82908376e-02 -3.00150011e-02
  6.27061054e-02 -6.17208332e-02 -7.43436143e-02 -7.98638631e-03
  1.15489714e-01  1.47136390e-01  6.45264015e-02  1.22341663e-02
  2.88488865e-02 -2.98963878e-02 -7.25761130e-02  1.08455541e-02
 -8.08227807e-02  3.94911133e-02 -5.72333299e-03  3.39452773e-02
 -1.35297254e-02  6.78144470e-02  1.70197170e-02  2.85302754e-02
  6.19016699e-02  1.44577771e-02 -2.42802780e-02  2.01791674e-02
  5.24194771e-03  5.49227782e-02 -5.95727712e-02 -6.79416768e-03
  5.92374988e-02  3.53469513e-02 -6.62499398e-04  3.69605571e-02
 -2.55644415e-02 -1.25608342e-02  1.57086104e-02 -1.90549996e-02
 -6.87911138e-02 -1.83433294e-02 -3.65091674e-02  6.02222374e-03
 -4.61947285e-02 -4.40447293e-02  2.77069453e-02  3.55472299e-03
  7.04341754e-02 -1.11821391e-01 -1.01468883e-01  1.64841656e-02
  2.87974980e-02 -6.69816732e-02 -7.25472346e-03  2.25538909e-02
  6.86274990e-02 -4.80777398e-03  1.00513883e-01 -8.66769478e-02
  8.54027644e-03  6.46202788e-02 -2.21409157e-01 -2.92752776e-02
  6.81605637e-02 -5.80877773e-02 -9.27750021e-03  6.78047165e-02
 -3.47380526e-02 -4.10761088e-02 -6.85697198e-02  1.85591672e-02
 -8.89527798e-03 -1.26976117e-01  5.69438897e-02 -4.08111094e-03
 -4.92194435e-03  2.90077794e-02  4.93672192e-02  7.16427863e-02
  3.05772219e-02  5.06166555e-03 -4.34297211e-02 -4.68125008e-02
  8.01083352e-03 -7.12611014e-03  5.59091680e-02 -4.18652780e-02
  5.09611107e-02  4.97919433e-02 -1.70419421e-02  5.06322198e-02
  2.58219447e-02  5.14066666e-02  3.86452787e-02  3.65155526e-02
 -2.00436115e-02 -4.66538854e-02 -1.19107783e-01 -7.40075037e-02
  1.30691677e-02 -1.70261115e-02  6.99172243e-02 -1.66527799e-03
 -3.76899987e-02  5.82955591e-02 -5.71061112e-02 -1.19227804e-02
 -7.90861100e-02  3.54159981e-01 -3.57972342e-03 -9.53649953e-02
  8.77500325e-03  9.01319459e-02  5.08586131e-02 -9.47797224e-02
  3.44944443e-03 -9.88305453e-03 -1.51913902e-02 -5.34541607e-02
  6.08777767e-03  6.41655549e-02 -1.03862770e-01  5.98402806e-02
  1.29613904e-02  2.99786124e-02 -3.88333350e-02  1.39355548e-02
 -8.38586017e-02  2.19072197e-02  5.60838878e-02 -1.26525015e-02
 -2.44080555e-02 -1.01302788e-02 -2.85708327e-02  3.85083095e-03
 -7.93505535e-02  1.45927789e-02  3.09497248e-02 -3.15749943e-02
 -5.37891649e-02 -5.10938875e-02  6.62338883e-02  8.46344456e-02
  3.68577801e-02 -7.11324885e-02 -2.28588879e-02 -8.18630531e-02
  5.27166687e-02 -1.03011124e-01  6.07566722e-02  6.63725555e-01
  2.65127793e-02  5.37582999e-03 -1.80833340e-02  9.53210965e-02
  1.05541674e-02  2.58563906e-02  3.43727767e-02  2.21736133e-02
 -7.27986172e-02 -2.62005553e-02 -1.40952794e-02  2.26241648e-02
 -1.87927801e-02  1.91319417e-02 -3.05175018e-02 -1.10061122e-02
  7.21111288e-03  3.47805507e-02  7.66630545e-02  4.45419438e-02
 -2.92016659e-02 -4.55111116e-02 -1.27487779e-01  1.21511109e-02
 -1.54638886e-02  5.30752800e-02  4.66286056e-02  1.06366677e-02
  2.54100021e-02  4.87416647e-02 -4.62480597e-02 -2.12650020e-02
  1.59138907e-02  9.74061117e-02 -5.56555577e-02 -4.63955551e-02
 -4.77769487e-02 -5.72555372e-03  1.30441645e-02  9.96416807e-03
  1.95252802e-02  5.72116673e-02 -6.76733330e-02 -1.38388872e-02
  4.86444728e-03  5.15138842e-02 -1.80247258e-02 -9.28999949e-03
 -3.46378326e-01  1.22281663e-01 -6.74166679e-02 -5.45158274e-02
  9.47361346e-03  4.25263941e-02 -2.96563860e-02 -2.72166636e-03
  1.49294399e-02 -3.87830548e-02 -4.07419465e-02 -3.83141674e-02
 -9.74998518e-04  3.50294448e-02  1.33245572e-01 -2.61066649e-02
 -1.27591677e-02 -3.34722362e-03  5.49555710e-03  1.49244489e-02]"
青,"[ 1.55275002e-01  8.86500031e-02  3.79875004e-01 -8.07500035e-02
 -7.32500032e-02 -8.88250023e-02  5.74997626e-04  9.23999995e-02
  1.70774996e-01  3.13500017e-02 -6.97249994e-02  8.93500000e-02
  1.02475002e-01 -2.73499992e-02  7.85750002e-02  1.16750002e-02
  1.11425005e-01  4.77999970e-02 -5.59999794e-03  1.30700007e-01
  4.56750020e-02 -1.84249990e-02  1.07924998e-01 -9.24749970e-02
  1.00000001e-01  2.64250003e-02  2.36000009e-02  1.86749976e-02
 -1.28124997e-01 -9.05749947e-02 -1.20399997e-01 -6.11749999e-02
  1.45575002e-01 -3.86499986e-02  1.10874996e-01 -9.47249979e-02
  4.56500016e-02 -2.66350001e-01  5.12499996e-02  5.10249957e-02
 -5.87499887e-03 -4.54499982e-02  1.19250007e-01 -8.70999992e-02
  1.40000042e-03  1.35500021e-02  1.08074993e-01 -1.11675002e-01
 -5.24749979e-02 -3.50749977e-02  9.55500007e-02  1.51000014e-02
  1.08999997e-01 -2.56574988e-01  6.20249994e-02 -5.70250005e-02
 -7.90500045e-02 -2.36750040e-02 -2.30999999e-02 -7.54999649e-03
 -5.72249964e-02 -1.41400009e-01 -1.25250015e-02 -5.90749979e-02
  1.09949999e-01 -2.51250006e-02 -5.28750010e-02  4.25499976e-02
  7.15750009e-02 -1.10525005e-01 -1.99500006e-02  8.91750008e-02
  9.90500003e-02  5.66499978e-02 -7.96499997e-02 -5.69749996e-02
 -9.13999975e-02 -6.51249960e-02 -1.53675005e-01  2.31999997e-02
 -1.46500003e-02 -5.50999977e-02 -1.92749985e-02 -4.39000018e-02
  5.57499938e-03 -6.61000013e-02  6.04500063e-02  2.66500004e-02
  1.41024992e-01 -2.57249959e-02 -4.07750010e-02  6.53499961e-02
  7.78499991e-02 -1.32075012e-01  2.52499990e-02 -5.63249998e-02
  4.07500193e-03 -5.00750020e-02  6.28999993e-02  4.92500030e-02
  3.77500057e-03 -4.11499999e-02 -5.73499985e-02 -1.57500431e-03
 -1.21849999e-01 -3.36000025e-02 -2.12500012e-03  3.14750001e-02
  1.31999999e-02 -1.70249976e-02 -4.63000052e-02  1.31724998e-01
  5.20500019e-02 -3.03249992e-02 -1.48575008e-01  8.65250081e-02
 -7.94499964e-02 -4.57499828e-03  1.22049995e-01 -6.54750019e-02
  1.01675004e-01 -4.25250009e-02  6.87749982e-02 -1.84000004e-02
  9.68500078e-02 -2.00250000e-02  4.63250019e-02 -2.92250030e-02
  3.68999988e-02  4.44749966e-02  3.58249992e-02  1.32500026e-02
 -3.66499983e-02 -1.59500018e-02 -1.08925000e-01 -6.35749996e-02
  4.73999977e-02  2.17749998e-02  4.37000021e-02 -1.16499988e-02
 -6.92000017e-02  1.11299999e-01 -2.50775009e-01 -5.74500002e-02
  6.35000318e-03 -8.54249969e-02  3.52500007e-02 -3.63250002e-02
 -4.36750017e-02 -6.17749989e-02 -4.68250029e-02  9.05499905e-02
 -5.75250015e-02 -1.09875001e-01 -2.82250047e-02 -4.50999960e-02
 -3.47000025e-02  1.03850007e-01  9.97750014e-02 -4.88750003e-02
  2.52249986e-02 -3.62749994e-02 -3.99999991e-02 -6.73500001e-02
 -6.08249977e-02 -1.23849995e-01  1.58500001e-02 -2.83250026e-02
 -1.40000042e-03 -1.16050005e-01 -9.03750062e-02  8.57499987e-02
 -1.30775005e-01  5.81500046e-02 -9.45250019e-02 -2.67500151e-03
  1.36824995e-01 -1.93250012e-02  6.19750023e-02  3.38499993e-02
 -4.31750007e-02 -1.28424987e-01 -3.47499922e-03  2.60999985e-02
  3.87500226e-03  1.64900005e-01  7.49749988e-02  8.63999948e-02
 -6.06999993e-02  2.69125015e-01  3.22749987e-02  2.31700018e-01
 -1.73250005e-01 -8.09999928e-03 -5.73500022e-02 -7.60499984e-02
  8.91499966e-02 -3.03750001e-02 -1.06999986e-02 -1.67699993e-01
 -4.90499958e-02  7.28750005e-02  6.53249994e-02 -3.12500028e-03
 -1.77175015e-01  7.28750005e-02  2.33649999e-01 -8.73499960e-02
  4.06749994e-02 -5.07500023e-03  2.60750018e-02  3.64749990e-02
 -1.13125004e-01 -2.69999914e-03 -4.83249985e-02 -1.40450001e-01
  1.49999987e-02  5.02249971e-02  4.99250032e-02 -1.87974989e-01
 -5.20249978e-02  3.15250009e-02 -1.72250047e-02  5.24997711e-04
 -1.92925006e-01 -6.97500072e-03 -6.98249936e-02  4.76500019e-02
 -6.28499985e-02  2.63650000e-01  1.18275002e-01  6.42449975e-01
  6.79500028e-02  5.94250001e-02 -2.04400003e-01 -2.76249982e-02
 -4.03499976e-02 -1.22099996e-01  5.53500019e-02 -3.12500075e-03
  5.86500019e-02 -5.47749996e-02  7.49997795e-04  1.28724992e-01
 -6.96000010e-02 -9.00000036e-02 -2.24500000e-02  3.02250013e-02
  2.14749984e-02 -1.96200013e-01  1.54725015e-01  2.11499967e-02
 -8.41249973e-02  4.84500006e-02 -3.17750014e-02 -8.06500018e-02
 -4.81749997e-02 -1.26999998e-02 -8.49999487e-04  9.47999954e-02
  3.37000005e-02  8.73000026e-02 -8.32500011e-02  2.03500018e-02
  5.76750003e-02  4.30500023e-02  9.83249918e-02 -4.99999151e-05
 -8.07000026e-02 -1.71249993e-02 -5.58249988e-02  3.33999991e-02
  5.33000045e-02 -4.29249965e-02  8.85499939e-02 -4.69250008e-02
 -7.69750029e-02  9.75250006e-02  9.90749970e-02  3.44999991e-02
 -3.46599996e-01 -1.14000030e-02 -1.41500048e-02 -5.84749989e-02
 -8.02249983e-02 -1.03000030e-02 -8.55749995e-02  1.90500002e-02
 -1.23149998e-01  1.58199996e-01 -2.30000168e-03  1.22999996e-02
 -3.39750014e-02 -3.48749980e-02 -2.16500014e-02 -3.64250019e-02
 -3.86250019e-02  7.48250037e-02  4.05749977e-02 -8.10499936e-02]"
靕,"[-0.02745    -0.02378     0.29850334  0.03280333  0.02313    -0.00623
 -0.14007333  0.12987     0.08840334  0.00287334  0.06334667 -0.02843667
  0.0528      0.02525334  0.08062667 -0.02477667  0.08984667 -0.09743333
 -0.00202666 -0.02311333 -0.01466333 -0.02518     0.11379333  0.02607667
 -0.02585666  0.00893667 -0.11561666  0.08312    -0.03758667 -0.09058334
 -0.02630667 -0.11897334  0.08591     0.01606666 -0.06178334  0.01100667
  0.05218    -0.25153    -0.03408667 -0.14867002  0.02696     0.04403
  0.08479332 -0.01753667 -0.01093    -0.05342     0.03462001  0.00135
  0.04273333 -0.00495     0.01613666 -0.02576    -0.06249001 -0.02414333
  0.14904666  0.07326667  0.03730333 -0.09741999 -0.00084    -0.20882332
  0.03324     0.0234     -0.05003666 -0.10557666 -0.01464333 -0.03557667
  0.01065667  0.02696666  0.03338667  0.12195    -0.04151     0.06643333
  0.0542     -0.01185667  0.13377334 -0.06509667  0.11634333 -0.0397
 -0.01736667 -0.04787667 -0.09147666 -0.12085     0.02413667  0.00314
  0.02300667 -0.11404333 -0.07483667  0.03857667  0.09568667  0.00910001
 -0.02294667  0.11122333  0.05122333  0.03304333 -0.05170333  0.07742333
 -0.10046334  0.01939    -0.03238667 -0.00328667  0.09180667  0.08919333
  0.08854     0.06209    -0.05101667 -0.08428334 -0.00729333 -0.00874
 -0.11766    -0.05753667  0.07263333 -0.01814    -0.03673     0.01953667
  0.09044334  0.01666    -0.00811667  0.11171333 -0.03578334  0.06073666
 -0.01085666  0.07828    -0.15992334  0.06272333  0.00437667 -0.12030666
  0.01544     0.08328666 -0.03085333 -0.00300333 -0.18880667 -0.02553
 -0.07801333 -0.01853     0.00435333 -0.02137333 -0.13266668  0.10443667
 -0.09257333 -0.16147333  0.01561     0.19458    -0.22299667 -0.05476667
  0.01667667 -0.03027333  0.10299     0.03506333  0.02536    -0.10501666
 -0.12624666  0.02514333  0.02058667 -0.02021667 -0.02403     0.06219333
 -0.07288333  0.04070666  0.0233      0.04258667 -0.00400667  0.00436667
 -0.10766667 -0.04506667 -0.06352     0.03293667  0.02950001 -0.05325667
  0.05262666  0.03246666 -0.00146667  0.01085    -0.03077333 -0.06017334
  0.03519666 -0.09485333 -0.01147    -0.00795667 -0.03662     0.05850667
 -0.06500667 -0.15068667  0.02683334  0.14054334  0.01701667 -0.12661667
 -0.06934333  0.03218    -0.11586668  0.29276666  0.10188666  0.04031
 -0.05229333  0.03257333  0.02738333 -0.20951     0.01986333  0.01482667
  0.08901     0.00361333 -0.03167    -0.05976    -0.02019667 -0.13926667
  0.04997667 -0.04649    -0.02211333 -0.01646667  0.02953333  0.15678334
  0.06987333 -0.06829666  0.00312333  0.01393    -0.04558333 -0.06821667
 -0.03508667 -0.02884    -0.07882     0.04777     0.02525666 -0.07047
  0.00944     0.12745333 -0.09003667  0.02569    -0.14034    -0.06392
  0.05184666  0.18998998  0.15112667  0.76713336  0.04304001 -0.00546667
  0.0156      0.02704    -0.05588334  0.04299     0.15571333 -0.03118333
 -0.02489666  0.00897333 -0.00185     0.03228    -0.0544     -0.12389
 -0.12845333  0.04749333  0.05381333  0.04201333  0.04326666 -0.04246
 -0.11213     0.03647333 -0.17124668  0.03272667  0.01474667  0.05327667
 -0.00636     0.00182667  0.12510332  0.00841334 -0.01950666 -0.04155333
 -0.07438    -0.02971     0.00802667 -0.08618667 -0.01076667  0.00706
 -0.00834333 -0.01755334  0.05046667 -0.02883667  0.05826333 -0.11492666
 -0.12884     0.03122    -0.03231    -0.15413001 -0.33349     0.13992333
 -0.07577333  0.05606     0.05962333 -0.04111667 -0.09171    -0.00098667
  0.11223333  0.04957332 -0.02887333  0.04028667 -0.10388     0.03061667
 -0.00279667  0.07419     0.00502667  0.02814334 -0.00479333 -0.08098666]"
靖,"[-4.05188138e-03  5.06353192e-02  3.97238970e-01 -2.76235230e-02
  7.57667329e-03 -4.41298746e-02 -1.92684382e-02 -9.64828534e-04
 -7.62388110e-02  3.83484140e-02  2.98859905e-02  1.19794449e-02
  4.92647290e-02  3.14681195e-02  1.65418312e-02  4.40636799e-02
  3.05410125e-03 -1.99620170e-03  5.45461429e-03  1.87962558e-02
  3.27546820e-02  1.77787319e-02  8.90554220e-04 -3.26611362e-02
  4.11830582e-02  5.17224520e-03 -2.34030075e-02  3.22025642e-02
  3.06024402e-02  3.63454665e-03  4.91735116e-02 -3.05752289e-02
  1.32356942e-01  9.49347392e-03  9.51129198e-03  2.15455461e-02
  2.02288218e-02 -2.05043316e-01 -8.40693060e-03 -1.08121883e-03
 -4.17699963e-02  7.15595065e-03  2.27777679e-02 -5.23888655e-02
  5.42366691e-02 -2.59461198e-02  8.12994316e-02 -3.81103382e-02
  4.60915864e-02 -6.13318868e-02  2.48031933e-02 -8.15199688e-03
  4.83925501e-03 -2.87137311e-02  4.62875366e-02 -1.46375736e-02
  1.24646360e-02 -2.65290458e-02 -5.30752260e-03 -5.04033044e-02
 -6.10560067e-02  1.68215707e-02  2.11778246e-02 -5.63992513e-03
 -5.16815297e-02  7.57999485e-04  1.29161049e-02 -9.79647040e-03
 -8.17205664e-03  5.05789556e-03 -4.03687991e-02  1.49255142e-01
  5.37004955e-02  8.97889666e-04  1.77777372e-03 -1.91302709e-02
 -2.76699127e-03  2.92793214e-02  1.24003934e-02 -2.63667312e-02
 -3.17487195e-02 -2.12896448e-02  2.29196474e-02  3.45073291e-03
  4.21255343e-02 -5.02183326e-02  2.67958734e-02 -1.07765049e-02
  3.55949067e-02  1.30393729e-02  1.38452984e-02 -2.70870631e-03
  7.07457121e-03  6.70034587e-02 -3.08747869e-02  4.80933189e-02
 -2.67630938e-04  2.28216927e-02  1.00496430e-02  3.94220613e-02
 -5.24473414e-02  6.54979348e-02  5.55099994e-02  2.05550455e-02
  1.09195903e-01  4.01620343e-02  3.92237790e-02  3.47913839e-02
 -5.77931739e-02  7.22952932e-03  9.23567824e-03  1.23827849e-02
  8.03784803e-02  3.30171082e-04 -1.05769830e-02  7.96814039e-02
  2.15017609e-02  3.82222533e-02  8.71152151e-03  1.37016578e-02
 -5.36846071e-02  3.03482693e-02 -5.56102097e-02 -2.65360083e-02
 -2.53962353e-02  2.92510595e-02 -1.75241996e-02 -2.10456699e-02
  6.46004872e-03 -3.73597033e-02 -1.88994303e-01  2.78166961e-02
  4.75484505e-02 -6.00104257e-02 -3.46615463e-02 -2.24127062e-03
  6.73898235e-02 -6.64760768e-02 -1.47006093e-02 -8.36716220e-02
  2.14286316e-02  1.10977210e-01 -1.88764036e-01 -6.44396916e-02
  6.03557117e-02  8.82328954e-03 -2.86747273e-02  5.76704778e-02
  9.61603504e-03  2.79347263e-02 -5.54306619e-02 -3.00509110e-02
 -1.09574627e-02 -1.19093154e-02 -5.82164340e-02  5.53482696e-02
 -6.00182936e-02  3.60808559e-02  2.06432324e-02 -8.19635519e-04
 -3.47335823e-02 -1.01270024e-02 -1.96583569e-02 -6.01929007e-03
 -1.95780955e-02 -9.61829349e-03 -1.86604913e-02  7.96822365e-03
 -3.26687470e-03  3.35113332e-02 -1.76297035e-02  3.07516698e-02
 -4.23836932e-02 -3.16006467e-02 -1.62770897e-02 -8.73449445e-03
  5.98684419e-03 -5.42475991e-02 -4.82180975e-02  1.16995517e-02
 -1.83073804e-02  2.35628597e-02  4.89391610e-02  4.13866192e-02
  1.05158966e-02 -4.09351550e-02 -8.47148430e-03 -1.45397494e-02
 -2.10190844e-02  3.01953793e-01  4.22005132e-02  2.51907599e-03
 -3.00386380e-02  1.35061620e-02  2.08473280e-02 -5.91136105e-02
  3.64457592e-02  1.78942047e-02  3.41434777e-02  2.50766575e-02
 -2.66436907e-03 -3.74909816e-03 -8.69648438e-03  2.83914227e-02
 -4.02190238e-02  1.56978257e-02 -4.49977778e-02  4.74020913e-02
 -2.38471124e-02  2.94749793e-02  6.11799546e-02  4.04756702e-03
  8.46287236e-03 -1.19680734e-02 -3.77549306e-02 -2.24550068e-03
 -4.92718555e-02  3.74231599e-02 -6.76309094e-02  4.88824695e-02
  3.51672545e-02 -2.12810617e-02  4.26158011e-02  4.56600748e-02
 -5.10043129e-02 -5.01250569e-03 -5.48509136e-02 -1.65208206e-02
  2.85105035e-02  7.73212686e-02  4.59942892e-02  7.98910439e-01
 -5.10484874e-02  2.29298100e-02 -1.75299626e-02  1.10047879e-02
 -4.76937890e-02 -5.64409308e-02  5.66321537e-02  8.35920218e-03
 -6.91302642e-02 -2.52840463e-02 -3.02468278e-02  5.88440150e-03
 -4.47853468e-02 -2.10831407e-02 -1.43969581e-02 -2.25808248e-02
  1.82278045e-02  2.81519201e-02  4.40733097e-02  2.00584345e-03
 -1.87451392e-02 -1.19267991e-02 -8.33705962e-02  5.35629913e-02
  1.32622970e-02  4.85336669e-02 -2.93986835e-02  1.49954716e-02
  9.08961147e-02  1.18086226e-02  4.89538256e-03 -3.56343091e-02
  3.02984286e-02  3.35916281e-02  1.17718177e-02  1.37370573e-02
 -3.98541056e-02  3.33221555e-02  2.60496791e-02  1.81975178e-02
  7.03714741e-03  3.19763795e-02  2.52816849e-03 -6.81671873e-03
  6.95339870e-03  6.90255240e-02 -2.88641099e-02 -6.19672192e-03
 -4.41036195e-01  1.12204894e-01 -2.70700045e-02 -3.14940028e-02
  9.69109777e-03  2.14027166e-02 -2.88724806e-02 -1.16808610e-02
  1.17311306e-01  4.39691208e-02 -6.36294633e-02  2.75813080e-02
 -3.07026990e-02 -4.35372954e-03 -1.56708360e-02 -2.84279678e-02
 -1.74488574e-02 -3.48369516e-02  3.13094668e-02 -3.12837325e-02]"
