訆(jiào): 鸣叫; 字数: 2
訇(hōng): 骇言声; 字数: 3
計(jì): 总计; 字数: 2
訉(訉fàn): 多言; 字数: 2
訊(xùn): 询问; 字数: 2
訋(diào): 挐; 字数: 1
訌(hòng): 溃乱; 字数: 2
訍(chài): 疑心; 字数: 2
訍(chā): 揭发别人的阴私; 字数: 7
討(tǎo): 治理；整治; 字数: 4
訏(xū): 诡讹; 字数: 2
訏(xǔ): 〔訏訏〕广大貌; 字数: 5
訐(jié): 攻击别人的短处；揭发别人的阴私; 字数: 14
訐(jì): 直言不讳; 字数: 4
訑(yí): 〔訑訑〕自满；自得貌; 字数: 7
訑(tuǒ): 言不正; 字数: 3
訒(rèn): 出言缓慢谨慎; 字数: 6
訓(xùn): 教导；教诲; 字数: 4
訔(yín): 〔訔訔〕争辩貌; 字数: 5
訕(shàn): 诽谤；讥刺; 字数: 4
訖(qì): 停止；终止; 字数: 4
託(tuō): 寄托; 字数: 2
記(jì): 记载；记录; 字数: 4
訛(é): 讹误；差错; 字数: 4
訜(訜（一）fēn): 〔訜𧥼〕言语不定; 字数: 6
訝(yà): 惊奇，诧异; 字数: 4
訞(āo): 巧言貌; 字数: 3
訟(sòng): 争论，争辩; 字数: 4
訢(xīn): 姓; 字数: 1
訢(yín): 〔訢訢〕谨敬戒慎貌; 字数: 7
訣(jué): 将远离而相告别; 字数: 7
訥(nè): 言语迟钝; 字数: 4
訦(chén): 诚实不欺; 字数: 4
訩(xiōng): 争辩; 字数: 2
訪(fǎng): 咨询；征求意见; 字数: 6
訬(chāo): 吵闹；烦扰; 字数: 4
訬(miǎo): 高; 字数: 1
設(shè): 陈列；安置; 字数: 4
訮(yán): 易怒而好与人争论; 字数: 8
訯(sǎ): 《龍龕手鑑》所瓦切; 字数: 7
訰(zhùn): 〔訰訰〕杂乱; 字数: 4
訰(zhūn): 乱言貌; 字数: 3
許(xǔ): 应允；认可; 字数: 4
許(hǔ): 〔許許〕也作“所所”、“滸滸”; 字数: 8
訴(sù): 告诉；诉说; 字数: 4
訵(chī): 暗中窥察; 字数: 4
