㤶(máng): 〔㤶懞〕昏闷; 字数: 4
㤶(màng): 〔㤶戆〕愚笨; 字数: 4
㤷(hān): 放纵; 字数: 2
㤸(xì): 心不安; 字数: 3
㤻(lǔn): 《集韻》魯管切; 字数: 5
㤾(sàn): 〔憛㤾〕失意貌; 字数: 5
㤿(ān): 爱; 字数: 1
㥀(zhí): 专; 字数: 1
㥂(è): 〔㥂㥂〕1.快; 字数: 3
㥄(íng): 哀怜; 字数: 2
㥅(hòu): 人名用字; 字数: 4
㥆(tuì): 肆欲；纵欲; 字数: 4
㥇(cán): 忮; 字数: 1
㥈(dié): 安; 字数: 1
㥊(péng): 〔㥊𢝁〕怒貌; 字数: 4
㥋(yī): 哀痛声; 字数: 3
㥌(jú): 谨慎; 字数: 2
㥏(tiǎn): 惭愧; 字数: 2
㥒(cǎi): 奸邪; 字数: 2
㥓(qī): 〔𢜩㥓〕见“𢜩”; 字数: 4
㥔(yù): 心动; 字数: 2
㥖(cōng): 赤色; 字数: 2
㥚(yú): 忧愁; 字数: 2
㥚(yǔ): 畏惧; 字数: 2
㥛(jí): 急; 字数: 1
㥛(kè): 爱; 字数: 1
㥜(èi): 〔㥜恲〕不得志貌; 字数: 6
㥝(mǐ): 淬炼；磨砺; 字数: 4
㥞(suì): 心思深邃; 字数: 4
㥟(xié): 怨恨; 字数: 2
㥡(chì): 懈惰; 字数: 2
㥢(qiú): 恶; 字数: 1
㥢(jiū): 思虑; 字数: 2
㥥(yú): 〔㥥㥥〕恍惚貌; 字数: 5
㥨(shuì): 不悦貌; 字数: 3
㥨(wěi): 怒; 字数: 1
㥩(duǒ): 懒惰; 字数: 2
㥬(páng): 〔㥬惶〕恐惧貌; 字数: 5
㥮(zhòu（旧读chǎo）): 心迫; 字数: 2
㥯(yǐn): 谨慎; 字数: 2
㥰(sāo): 忧愁; 字数: 2
㥳(yuán): 测量; 字数: 2
㥴(yí): 不忧其事; 字数: 4
㥴(tí): 惭愧; 字数: 2
㥼(yìn): 依止; 字数: 2
㥼(yān): 忆; 字数: 1
㥽(cè): 情; 字数: 1
㥾(nì): 惭愧; 字数: 2
㦀(éng): 喜悦; 字数: 2
㦁(lián): 哭泣貌; 字数: 3
㦁(liǎn): 留意; 字数: 2
㦃(hǎn): 完美的品德; 字数: 5
㦅(diē): 〔㦅㦅〕不自安; 字数: 5
㦆(hū): 〔㦆☀〕夸大虚妄; 字数: 6
㦆(xiā): 〔㦆忦〕无志气; 字数: 5
㦇(ù): 心闲; 字数: 2
㦊(huá): 心侈; 字数: 2
㦋(zhā): 荒唐；虚妄; 字数: 4
㦌(hū): 精明而憨厚; 字数: 5
㦌(xù): 睡醒; 字数: 2
㦎(uò): 乖戾; 字数: 2
㦏(sǔn): 〔愞㦏〕也作“㦏愞”; 字数: 6
㦏(xuàn): 喜悦; 字数: 2
㦐(nì): 快性; 字数: 2
㦑(xiàn): 怒; 字数: 1
㦒(í): 〔㦒忚〕也作“㦒𢘬”; 字数: 6
㦓(xiàn): 意难; 字数: 2
㦕(lóng): 意; 字数: 1
㦘(ī): 定; 字数: 1
㦚(biǎn): 忧愁; 字数: 2
㦛(yǔ): 〔㦛㦛〕行步安详貌; 字数: 7
㦛(yú): 恭敬貌; 字数: 3
㦜(huò): 心动; 字数: 2
㦟(mái): 聪慧; 字数: 2
㦢(ié): 心贞貌; 字数: 3
㦣(wèi): 梦呓; 字数: 2
㦥(xiǎn): 恨; 字数: 1
㦦(ì): 惶恐; 字数: 2
㦩(ǐn): 忧愁；哀伤; 字数: 4
㦪(xiè): 意不平; 字数: 3
㦫(zā): 〔慒㦫〕心慢怠; 字数: 5
㦬(luǒ): 〔𢣗㦬〕见“𢣗”; 字数: 4
心(xīn): 心脏; 字数: 2
必(bì): 标杆；标准; 字数: 4
忇(è): 功大; 字数: 2
忈(rén): 亲，仁爱; 字数: 3
忉(āo): 忧愁貌; 字数: 3
忊(dìng): 〔忊𢣙〕恨; 字数: 3
忊(tìng): 〔忊𢣙〕不得志貌; 字数: 6
忋(gǎi): 依靠；仰赖; 字数: 4
忌(jì): 憎恶；怨恨; 字数: 4
忍(rěn): 忍耐；容忍; 字数: 4
忍(rèn): 坚柔; 字数: 2
忏(qiǎn): 怒; 字数: 1
忏(chàn): “懺”的简化字; 字数: 5
忐(tǎn): 〔忐忑〕心神不定；胆怯; 字数: 8
忐(kěng): 〔忐忑〕诚恳之意; 字数: 6
忑(tè): 〔忐忑〕见“忐（tǎn）”; 字数: 7
忑(dǎo): 〔忐忑〕见“忐（kěng）”; 字数: 8
忒(tè): 变更; 字数: 2
忒(tuī): 方言; 字数: 2
忓(gān): 疲惫; 字数: 2
忓(hàn): 善; 字数: 1
忔(qì): 喜; 字数: 1
忔(yì): 心不欲；厌烦; 字数: 5
忕(shì): 习惯；惯于; 字数: 4
忕(tài): 奢侈; 字数: 2
忖(cǔn): 揣度；思量; 字数: 4
志(zhì): 意念；心情; 字数: 4
忘(wàng): 不记得；忘记; 字数: 5
忙(áng): 内心着忙; 字数: 4
忚(xī): 〔㦒忚〕见“㦒”; 字数: 4
忚(liě): 〔忚忚〕心不欲; 字数: 5
忝(tiǎn): 辱没；有愧于; 字数: 5
忞(mín): 自强努力; 字数: 4
忞(wěn): 〔忞忞〕乱; 字数: 3
忠(zhōng): 尽心竭力，忠诚无私; 字数: 8
忡(chōng): 忧愁貌; 字数: 3
忤(ǔ（旧读wù）): 违逆；抵触; 字数: 4
忥(xì): 痴貌; 字数: 2
忦(jiá): 怨恨; 字数: 2
忧(yòu): 心动; 字数: 2
忧(yōu): “憂”的简化字; 字数: 5
忨(wán（又读wàn）): wán（又读wàn）　《廣韻》五丸切，平桓疑; 字数: 17
忪(zhōng): 心跳；惊惧; 字数: 4
忪(sōng): 〔忪惺〕也作“惺忪”; 字数: 6
快(kuài): 高兴；愉快; 字数: 4
忭(biàn): 喜乐貌; 字数: 3
忮(zhì): 违逆；不听从; 字数: 5
忮(qí): 强; 字数: 1
忯(qí): 〔忯忯〕爱悦; 字数: 4
忱(chén): 诚；诚信; 字数: 3
忱(dàn): 安; 字数: 1
忲(tài): 奢侈; 字数: 2
忳(tún): 忧伤苦闷; 字数: 4
忳(dùn): 无知貌; 字数: 3
忴(qián): 心急; 字数: 2
忴(qín): 〔忴㥍〕健了貌; 字数: 5
念(niàn): 思念；怀念; 字数: 4
忶(ún): 心闷; 字数: 2
忸(iǔ): 〔忸怩〕1.羞惭的样子; 字数: 7
忹(wǎng): 邪曲，不正; 字数: 4
忺(iān): 欲；愿; 字数: 2
忻(xīn): 启发; 字数: 2
忼(hāng): 〔咉忼〕狠戾; 字数: 4
忼(hàng): 傲慢; 字数: 2
忽(hū): 忽略；不注意; 字数: 5
忾(qì): 喜悦貌; 字数: 3
忿(fèn): 忿怒；恨; 字数: 3
怀(fù): 《俗字背篇》音副; 字数: 6
怀(huái): “懷”的简化字; 字数: 5
怇(ù): 怠慢; 字数: 2
怉(bǎo): 悖; 字数: 1
怉(bào): 怀; 字数: 1
怊(chāo): 悲伤; 字数: 2
怋(mín): 《集韻》呼昆切; 字数: 5
怋(mén): 闷; 字数: 1
怌(ēi): 恐惧; 字数: 2
怍(zuò): 惭愧；羞惭; 字数: 4
怍(zhà): 〔㤉怍〕见“㤉”; 字数: 4
怎(zěn): 代词; 字数: 2
怏(yàng): 不服；不满; 字数: 4
怏(yāng): 自大; 字数: 2
怐(jù): 恐惧; 字数: 2
怐(kòu): 〔怐愗〕愚昧; 字数: 4
