character,pinyin,similarity
平均相似度,,0.3276723798926473
借,jiè,0.7261419206455769
佰,bǎi,0.699955050874841
仟,iān,0.6935670516533836
偮,偮jí,0.6821915020062091
人,rén,0.6787403239485824
儒,rú,0.6773684810885636
伍,wǔ,0.6769196634764952
傭,yōng（旧读yóng）,0.6681281796726919
佃,diàn,0.6443469640630246
倚,yǐ,0.6386672683219016
仙,xiān,0.637959424402475
儕,chái,0.6290761114698666
㑟,㑟běng,0.6276150448137738
僕,pú,0.6270602300811917
偣,偣yān,0.6204705019357007
儭,chèn,0.6197771744714887
𠋡,𠋡sì,0.6124861124492512
儓,tái,0.6111348162145968
傈,lì,0.5961599552944309
佅,mài,0.594630897689645
伯,bó,0.593807481559474
們,men（旧读mén）,0.590702390240896
俊,jùn,0.5886935788031364
俞,yù,0.5884853410574737
俋,yì,0.5881970985868867
仛,zhé,0.5870173435205872
倡,chāng,0.5853070342024731
仁,rén,0.5815277875428418
倌,guān,0.5810790439411903
仱,qín,0.579258218773079
伕,ū,0.5787732345192153
㒊,sè,0.5771975451289133
僥,jiǎo,0.5762569457424674
佾,yì,0.5759429891154019
僸,jìn,0.5751874379950938
倛,qī,0.5737970697212794
伙,huo,0.572571798393043
俎,zǔ,0.5704372086585132
伊,yī,0.5702832726569136
僧,sēng,0.5693734137761649
仚,xiān,0.5689346046630989
偦,xǔ,0.5682605060009168
佛,fú,0.5668668994251115
個,gě,0.5662900930043762
仔,zǐ,0.5652620407078564
什,shí,0.5643910926106471
債,zhài,0.5617560466498892
僜,dēng,0.5581688327349255
倲,dòng,0.5565316023047415
做,zuò,0.556290654114359
僰,bó,0.5560469216319903
令,lǐng,0.5536818527549957
佛,fó,0.5526810360567902
但,yàn,0.5520868092006015
㑣,㑣lán,0.5514500783510075
侏,zhū,0.5478628276920069
儻,chèng,0.547169775663255
位,wèi,0.5454059369724223
傌,mǎ,0.5447918596999827
倉,cāng,0.5441969876870327
俥,chē,0.5440688113331896
侲,zhēn,0.5438158724229989
估,gū（又读gǔ）,0.543300685872262
侁,shēn,0.5417950733435382
僬,jiāo,0.5414009528883562
傒,xī,0.5413734745240658
俑,yǒng,0.5408830285412612
𠊔,𠊔qì,0.5408662744931708
俘,fú,0.5367092916147503
僭,jiàn,0.535614013912545
偓,wò,0.5346380095191896
㒈,hàn,0.5317647384621831
𠇋,𠇋dǎn,0.5309118146010384
俸,fèng,0.5299794649908385
份,fèn,0.5268300799160911
儤,儤bào,0.5264179493332531
僅,jǐn,0.5259564294127688
𠈶,𠈶yí,0.5238265212433109
伯,bǎi,0.5236786432626658
仞,rèn,0.5207011984605528
优,yóu,0.5203667518890213
儉,jiǎn,0.5200977174641126
佩,pèi,0.5199758715116214
𠐡,𠐡bèi,0.5190699320651051
儎,zài,0.5154208791409585
佬,lǎo,0.510851361429455
偶,ǒu,0.5106436094319546
僮,tóng,0.5093587759275796
僜,chēng,0.5092270709771581
侯,hóu,0.508595439407917
侇,yí,0.5066685415830817
僾,ài,0.5051904751448766
偌,ruò,0.5037170660761052
众,zhòng,0.5029518483203606
佤,佤wǎ,0.502072934218791
傣,傣dǎi,0.502072934218791
俥,jū,0.5007138350590035
𠏀,𠏀kē,0.5000975965526874
儱,lòng,0.5000010019191806
仛,duó,0.4975472451904067
低,dī,0.49741841165485556
㒝,wà,0.4974104587889904
儅,dàng,0.49509806804405154
𠑰,²²𠑰xīn,0.49437724823196305
倫,lún,0.49341878449260734
傰,bēng,0.4930371648163727
㒚,yìn,0.4929377099583352
傢,jiā,0.49269382350027213
