character,pinyin,similarity
憝,duì,0.4638287429351714
𢤁,sào,0.4632736958086316
悄,qiāo,0.4630350351835435
懦,nuò,0.4627990247052973
慾,yù,0.46187502597215646
恔,xiào,0.46130011942349947
𢟣,yàng,0.4612544247764407
惜,xī,0.45931549223555
𢠝,xīn,0.45821360161109415
㤔,fù,0.45790733252079713
𢤍,yān,0.45751419419059847
㥢,jiū,0.4568884393236727
𢘄,qiú,0.4568884393236727
愓,dàng,0.45554776476334463
悱,fěi,0.4552463634993599
性,xìng,0.4535362781077571
悢,liàng,0.4530722752708792
慈,cí,0.45287952592051745
懠,qí,0.4523639676416652
惷,chǔn,0.45183714167994704
怖,bù,0.45171909842908253
愝,yǎn,0.4516935557753255
惿,tí,0.4516903702911366
愜,qiè,0.45136063248208624
慊,qiè,0.45136063248208624
悰,cóng,0.45006875001428354
慊,qiǎn,0.4488174062324424
恫,dòng,0.44875937703502755
愠,wěn,0.4473026637298001
憕,dèng,0.4462529940694738
怉,bào,0.44574635835200055
𢗉,nè,0.44561454028764325
怕,pà,0.4454379335587723
恐,kǒng,0.4454379335587723
慫,sǒng,0.4451897523504656
愬,sè,0.44478844782025573
憚,dàn,0.4436592681635101
恝,jiá,0.44340185097171353
㤢,yù,0.4425257443936157
㥔,yù,0.4425257443936157
㦜,huò,0.4425257443936157
忧,yòu,0.4425257443936157
憣,ān,0.4425257443936157
𢖺,yì,0.4425257443936157
𢛁,chè,0.4425257443936157
悦,uè,0.4424163092069233
㤍,qiāo,0.44191458096364067
憪,xiàn,0.4405049958289154
𢜨,xiè,0.4405049958289154
悠,yōu,0.4404271109036768
𢜱,qì,0.4404271109036768
㤷,hān,0.4402119652079451
恣,zì,0.4402119652079451
𢟴,tuí,0.4402119652079451
悁,juàn,0.43988563833396943
慞,hāng,0.43976807834610576
憡,cè,0.43959282436784025
𢗵,hǒng,0.4384024638707745
恏,hào,0.43835727180465733
怫,fèi,0.43748863741730426
患,huàn,0.43677445759170935
慁,hùn,0.43677445759170935
憂,yōu,0.43677445759170935
愾,kài,0.43594916385133026
𢛨,yù,0.4350373054916996
憶,yì,0.43416886495598334
懷,huái,0.43392579285399824
懁,huān,0.4337494534387715
思,sī,0.4327770293400803
惟,wéi,0.4327770293400803
恗,hū,0.43229914067901726
𢡇,gū,0.43229914067901726
𢜮,wǔ,0.4305566157522858
怍,zuò,0.43030643449091327
㥚,yǔ,0.4300622804512585
慄,ì,0.4300622804512585
懹,ràng,0.4300622804512585
悁,yuān,0.42933320007589343
性,xìng,0.4280871298900979
性,xìng,0.4280871298900979
𢝴,wù,0.427738566518074
慉,chù,0.42726372676403185
𢟯,shì,0.42568122722727086
忭,biàn,0.4240754365097553
㤥,hài,0.4240701675787434
懖,kuò,0.4240578328211006
快,kuài,0.42393440003242877
㦓,xiàn,0.42375114083680343
憋,iē,0.4232939239366227
㥟,xié,0.4232845211169023
忦,jiá,0.4232845211169023
愇,ěi,0.4232845211169023
憾,hàn,0.4232845211169023
懟,duì,0.4232845211169023
𢙾,gěng,0.4232845211169023
𢛃,qiú,0.4232845211169023
𢝍,yào,0.4232845211169023
𢞭,liù,0.4232845211169023
怞,chóu,0.42120930570155807
悖,běi,0.42104901009190654
㤴,chè,0.4204656293193261
慯,shāng,0.41896431667251915
惀,lún,0.41884576811287966
憺,dàn,0.4185724266052723
悔,huǐ,0.41824174009963794
怪,guài,0.41775876006711027
懇,kěn,0.4163350187109808
怕,bó,0.416039276309507
𢘅,róu,0.415971182654335
𢝹,tì,0.415971182654335
忯,qí,0.4151509560940978
懮,yǒu,0.41510505193753655
惢,suǒ,0.4150050367557477
㦇,ù,0.4141743800237745
惛,hūn,0.41379854626327656
忤,ǔ（旧读wù）,0.4135783487163068
𢥘,xié,0.413156855313997
恈,móu,0.4129432081912706
𢜩,qiān,0.41292769062072043
慓,piāo（又读piào）,0.4126374658468385
恁,rèn,0.4117901492643924
憐,lián,0.41177155276802185
怀,huái,0.4113483327418013
恨,hèn,0.4109216888859006
㣿,zhuó,0.4100686275100267
愾,xì,0.4099712493850807
慱,uán,0.4099519496562708
忿,fèn,0.40965182939741585
怯,qiè,0.4089907784792163
憒,kuì,0.4085399952892611
慹,zhí,0.40833252021200356
悌,tì,0.4076774225098467
懾,shè,0.40742423812556383
𢝇,huò,0.4072314325312743
懲,chéng,0.4072211630076936
意,yì,0.40679994041405665
㤿,ān,0.4067480443896357
㥛,kè,0.4067480443896357
惗,iè,0.4067480443896357
𢘃,mú,0.4067480443896357
𢢖,qì,0.40674292588376126
慹,zhé,0.4057801008863114
𢟯,zhé,0.4057801008863114
愉,yǔ,0.4056185641309999
惓,quán,0.40496914755283614
愮,yào,0.40441688450558044
憧,chōng,0.4036618417990963
怨,yuàn,0.4028975229996566
惡,wù,0.4027324830396968
𢞟,gào,0.4024924351666086
懀,èi,0.40175367363609826
忮,zhì,0.4016922851616176
憛,án,0.40125127905928654
慣,guàn,0.40096742571369326
惘,wǎng,0.400735270566757
𢙳,zhuǎng,0.4002361762113978
憷,chǔ,0.40013357662711146
㥏,tiǎn,0.4000502702361911
㥴,tí,0.4000502702361911
㥾,nì,0.4000502702361911
愧,uì,0.4000502702361911
懜,méng,0.4000502702361911
𢥌,xiǎn,0.4000502702361911
悻,ìng,0.3982429253297303
惡,è,0.3975204279387645
愻,xùn,0.3970998667940372
悵,chàng,0.3968680739578974
恭,gōng,0.3935106259108189
愣,鑞g,0.3933224968782718
㤠,liè,0.3928246982811896
怞,yóu,0.3928246982811896
怮,yōu,0.3928246982811896
愪,yún,0.3928246982811896
𢞏,qióng,0.3928246982811896
憎,zēng,0.3923567184768017
忨,wán（又读wàn）,0.39188530969339846
忕,shì,0.3917495975183571
惚,hū,0.3916781892202434
悀,ǒng,0.39152405968085474
怚,zū,0.39124550484893145
愈,ù,0.39105143446469476
愠,yùn,0.3909167962983382
愀,qiǎo,0.3908602428442605
㥄,íng,0.3907424009857708
慌,huang,0.3906835341664116
惺,īng,0.3904170414057242
愘,qià,0.38958197517136717
慝,tè,0.38940246953788815
愿,yuàn,0.389087610508181
憬,jǐng,0.38884713176458635
㦦,ì,0.3887325991207295
忠,zhōng,0.3884675847371678
憮,wǔ,0.3883543256698178
怲,bǐng,0.38828551603123795
𢥐,pèi,0.38804073452192833
㦪,xiè,0.38771140662143455
怋,mén,0.3863958041780627
怟,dì,0.3863958041780627
𢚅,fěn,0.3862720663784219
慝,nì,0.38621084640813297
愫,sù,0.38613322491470037
恑,guǐ,0.384919466655524
㦆,hū,0.38422251878382
㥽,cè,0.38346650891702977
忞,wěn,0.38327386796538027
怓,náo,0.38327386796538027
惃,ǔn,0.38327386796538027
慒,cáo,0.38327386796538027
㦆,xiā,0.38264344616874985
忖,cǔn,0.382544388243354
懈,xiè,0.3815485396092806
懶,lǎn,0.3815485396092806
懱,miè,0.38140320276491374
懊,ào,0.3812818516781939
憦,lào,0.38064989770593555
𢣠,liù,0.3805302276572283
忘,wàng,0.3803860015127237
憥,áo,0.3780110943077674
㦋,zhā,0.3777374825105119
怚,jù,0.37742279752728713
戂,mó,0.37703681058960614
怏,yàng,0.3766501755714642
憔,qiáo,0.37662505906736105
慌,huǎng,0.376573839926687
忧,yōu,0.3764238580047213
㦃,hǎn,0.3762362102793092
忺,iān,0.37519733495832824
㥩,duǒ,0.375167242977026
㦅,diē,0.374440088478225
慠,áo,0.37343332321584927
憹,náo,0.3719268763190495
㥝,mǐ,0.37148369950703164
懺,chàn,0.3713388339178713
惏,lán,0.3712682512982994
懢,lán,0.3712682512982994
𢡵,ruǎn,0.37118568164682886
忈,rén,0.3705471022302414
怔,zhèng,0.37002971817676417
𢗿,mò,0.36945592794418175
悾,kōng,0.3681871325713319
𢡂,dàng,0.36722063300170105
悾,kǒng,0.3664956507838516
慒,cóng,0.364654624352269
恄,xì,0.3616592779925043
恆,héng,0.3616371157515346
慘,cǎn,0.36026386292651685
𢛖,xiàng,0.3598100650353377
怑,bàn,0.35977259161448855
㤴,chè,0.35947161639485314
愰,huàng,0.3590697996544875
𢞦,fú,0.3590697996544875
忹,wǎng,0.35904559700368865
怜,líng,0.3579077219576733
恕,shù,0.35734215854644996
𢚀,xiàn,0.35714879330673066
惰,duò,0.35691742603683585
悃,kǔn,0.3567071435869862
㤴,dié,0.35664200742513663
㤞,chà,0.35612895720254684
恌,tiāo,0.3558666854342558
懎,è,0.3551279424698168
㤓,bèn,0.3550457958913472
