character,pinyin,similarity
次,cì,0.21316913850987476
㰭,xū,0.21187986750950696
欻,chuā,0.20761298646406473
㰾,jiào,0.20712074411720463
𣢫,wāng,0.20696028196112676
𣤳,xī,0.18116612333642984
次,cí,0.1724537885405987
𣣑,sǐ,0.17086440705967632
㰹,xiān,0.16795922729835167
𣤷,zā,0.16264104878299654
𣤎,𣤎yǒu,0.15582462984848303
𣢴,kēng,0.13222291649174592
欭,yīn,0.1035267822662644
㰰,qiè,0
㰲,xù,0
㰻,yǐ,0
㰻,hòu,0
㱍,luán,0
欩,chāo,0
欴,láng,0
歄,guā,0
𣢋,pī,0
𣢒,yú,0
𣢓,xì,0
𣢳,dìng,0
𣣎,yù,0
𣣠,hòu,0
𣣩,xiè,0
𣣸,yǒu,0
𣤶,zú,0
