汉字,笔画,反切,拼音,释义总个数
㕣,5,以轉切,yǎn,2
㕦,6,胡化切,uà,4
㕧,6,虚器切,xī,2
㕨,6,音梵,fàn,0
㕩,7,匹絳切,pàng,1
㕪,7,都感切,ǎn,2
㕫,7,撫養切,fǎng fēng,2
㕬,7,職容切 似用切,gōng sòng,2
㕭,7,於交切,āo ào,2
㕮,7,方矩切,fǔ,1
㕰,7,許角切,xuè ma,1
㕱,7,胡求切,yóu,1
㕲,7,下刮反 以麥反,huá yé,2
㕶,7,,ňg ň,1
㕷,8,胡麦反,huò pā,0
㕸,8,力入切,lì,1
㖀,9,勒没切,lè,1
㖂,9,餘制切,ì,1
㖃,9,呼后切 呼漏切 胡口切,hòu hòu hòu,2
㖅,9,辛聿切,xù,1
㖆,9,區玉切,ū,2
㖇,9,人之切,ér,0
㖏,10,乃結切,iè,2
㖐,10,羊委切,wěi,1
㖑,10,許介切,iè,1
㖒,10,田黎切,í,0
㖔,10,通懇切,tǔn,1
㖕,10,,niè xīn,1
㖟,11,承呪切,hòu,1
㖡,11,音夜,yè,1
㖤,11,胡南切,hán,1
㖥,11,渠殞切,ùn,2
㖦,11,覩動切,dǒng,1
㖧,11,呼昆切 武粉切,hūn wěn,1
㖨,11,盧谷切,ù,2
㖩,11,子于切 蘇后切,jū sǒu,1
㖪,11,呼麥切 古獲切 忽域切,huò guó xù,5
㖫,11,音陵,líng,1
㖮,11,,l鷑,1
㖵,11,,g?,1
㖶,12,因蓮切 於閑切 伊真切,yān yān yè yīn,2
㖷,12,是支切 田黎切,shí tí,1
㖸,12,極虐切,jué niā,1
㖹,12,步奔切 芳問切,pēn fèn,0
㖺,12,尺尹切,chǔn,1
㖻,12,尼猷切 如又切,niú ròu,2
㖿,12,徐嗟切,xié yé,2
㗀,12,音幽,ōu,1
㗂,12,所景切,shěng,1
㗃,12,武粉切,wěn hūn,0
㗄,12,莫干反,mán kū,1
㗅,12,洪孤切,ú,1
㗆,12,各核切,é,2
㗇,12,何加切 音釋,xiá ya,3
㗉,12,離灼切 逆各切,lüè è,1
㗊,12,阻立切,jí léi,3
㗏,12,,wāi,1
㗒,13,,ài éi）,2
㗓,13,丁龜切,zhuī,2
㗔,13,去乾切,qiān,1
㗕,13,居候切 古侯切,gòu gōu,2
㗗,13,甫委切,bēi,2
㗘,13,補各切,bó,0
㗙,13,䆫俞切 女洽切,chū nà zhōu,2
㗚,13,力質切,lì,1
㗢,14,户冬切 徒弄切 乎宋切,hóng dòng hòng,4
㗤,14,子六切,ù,2
㗥,14,苦郭切 光鑊切,kuò guō,2
㗦,14,魯刀切,láo,1
㗧,14,陟栗切 丁結切,zhì dié,2
㗨,14,火佳切 倚蟹切,xiē ǎi,2
㗩,14,先立切,xī,1
㗫,14,千結切,qiè,1
㗬,14,敕加切,zhā,2
㗭,14,音悉,xī,1
㗰,14,,c髇g,1
㗱,15,子入切,jí,2
㗲,15,胡麥切,huò,1
㗳,15,音塔,tǎ dā,3
㗴,15,五閑切,án,2
㗵,15,許勿切,ù,2
㗶,15,普活切,pō,1
㗻,16,古禾切,uō,2
㗼,16,魚怯切,yè,1
㗽,16,許兩切,xiǎng,1
㗾,16,許𦚢切,xuē,1
㗿,16,虚我切 呼訝切 虚加切,hé xià xiā,1
㘀,16,則落切,uò,2
㘁,16,羊益切 音義,yì háo,1
㘂,16,牆之切,cí,1
㘄,16,,lēng,1
㘆,17,他亥切,tǎi,1
㘇,17,于兄切,róng,1
㘈,17,魚力切 魚記切 偶起切,yì yì nǐ,3
㘉,18,阻瑟切,zhì,1
㘊,18,迄及切 域及切,xī yì,1
㘋,18,胡田切,ián,1
㘍,18,資悉切,jí,1
㘐,19,披教切,pào,1
㘑,19,郎計切,lì,1
㘔,20,音釋,ǎi,3
㘕,21,呼覽反 魯貪反,hǎn lán,0
㘖,21,牛姦切,yán,1
㘗,21,,qū,1
㘙,23,五銜切,yán,1
㘚,23,,hǎn,2
㘛,25,口銜反,ān,1
口,3,苦后切,kǒu,17
古,5,公户切 古慕切 溪姑切,gǔ gù kū,10
句,5,古侯切 古候切 九遇切 其俱切,gōu gòu jù qú,17
另,5,音集,ìng,4
叨,5,土刀切,tāo dāo,5
叩,5,,None,5
只,5,諸氏切 章移切,zhǐ zhǐ zhī,7
叫,5,古弔切,jiào,10
召,5,直照切 寔照切,zhào shào,7
叭,5,普八切,pā bā ba,5
叮,5,當經切,īng,4
可,5,枯我切 居何切 苦格切,kě gē kè,15
台,5,與之切 土來切 堂來切 祥吏切,tái tái tái tāi sì,16
叱,5,昌栗切,chì,4
史,5,疎士切,shǐ,7
右,5,云久切,yòu yòu yòu,28
叴,5,巨鳩切,qiú,1
叵,5,普火切,pǒ,2
叶,5,胡頰切,xié yè,1
号,5,乎刀切 胡到切 虚嬌切,háo hào xiāo,1
司,5,息茲切,sī cí sì,9
叹,5,音以,yǐ yòu tàn,1
叺,5,音尺,chǐ,0
叻,5,,lè lì,2
叼,5,,diāo,1
叿,6,呼東切 胡公切,hōng hóng,1
吁,6,况于切 王遇切,xū yù yū,7
吂,6,莫郎切 莫浪切,máng màng,2
吃,6,居乞切 欺訖切,chī qī,10
各,6,古落切,gè gě,5
吅,6,況袁切 似用切,xuān sòng,0
吆,6,伊堯切,āo,2
吇,6,祖似切 資悉反,zǐ jí,1
合,6,侯閤切 古沓切,hé gě,32
吉,6,其吉切 極乙切,jí jí jí jí,15
吋,6,田丑切,dòu cùn（又读yīngcùn）,2
