汉字,笔画,反切,拼音,释义总个数
𢣠,17,良秀切,liù,1
𢣦,17,,b?,1
𢣻,18,力居切,lǘ,1
𢣼,18,初戛切,chá,1
𢤁,18,蘇到切,sào,1
𢤂,18,力脂切,lí,3
𢤄,18,息中切,sōng,1
𢤆,18,力制切 郎達切,lì là,1
𢤋,18,許極切,xì,1
𢤍,18,伊閻反,yān,1
𢤎,18,音撮 子括反,cuō zuǒ,2
𢤐,18,力求切,liú,1
𢤘,18,莫耕切,méng,1
𢤧,19,墨角切,miǎo,2
𢤩,19,狠狄切,lì,1
𢤫,19,音舉,jǔ,1
𢤯,19,下介切,xiè,1
𢤰,19,下介切,iè,3
𢤱,19,力董切,lǒng,1
𢤲,19,盧東切,lóng,1
𢥃,19,音住,zhù,1
𢥋,20,鋤咸切,chán,1
𢥌,20,息淺切,xiǎn,1
𢥏,20,音營,yíng,1
𢥐,20,鋪畏切,pèi,1
𢥘,21,户圭切,xié,1
𢥚,21,子肖切,jiào,1
𢥽,24,吐袞切,tǔn,1
𢦅,27,虎孔切,hǒng zhuàng,1
𢦈,28,免員切,mán,1
𢦊,30,古欽切,jīn,1
𦑑,14,唐河切,tuó,1
