汉字,笔画,反切,拼音,释义总个数
㐲,5,徒蓋切,dài,1
㐳,5,五忽切,wù,0
㐸,6,去劒切 七四切,qiàn cì,1
㐺,6,音》,yín zhòng,1
㐻,6,奴對切,nèi,1
㑉,8,息逐切,sù,1
㑊,8,音亦,yì,1
㑋,8,去仲切 欺用切,qiòng qiòng qiòng,7
㑌,8,烏光切,wāng kuāng,0
㑍,8,盧對切,lèi,1
㑎,8,乃老切,nǎo,1
㑐,8,音叔,shū,2
㑗,9,失人切,shēn,3
㑙,9,丁愜切,dié,3
㑚,9,音那,nuó,1
㑛,9,桑谷切,sù,1
㑜,9,餘制切 丑例切,yì chì,2
㑟,9,布梗切,běng,1
㑣,10,盧含切,lán,1
㑥,10,以豉切,yì,4
㑦,10,郎計切,lì,1
㑮,11,户昆切,hún,2
㑳,12,鋤祐切 莊俱切,zhòu zhū,4
㑶,12,許既切,xì,1
㑸,12,銀嬌切,yáo,0
㑻,13,莫八切,mà,1
㑼,13,力却切,lüè,1
㑾,13,餘招切,yáo,3
㑿,13,士絞切,zhào,1
㒀,13,陟革切 展賈切,zhāi zhǎ,2
㒁,13,五矩切,yǔ,1
㒂,14,陟略切,zhuó,3
㒄,14,人善切,rǎn,4
㒅,14,康禮切,qǐ,1
㒇,14,文甫切,ǔ,1
㒈,14,許鑑切,hàn,2
㒊,14,色立切,sè,3
㒍,14,倫追切,léi,4
㒎,14,悉盍切,sà,1
㒑,15,苦猥切 户賄切,kuǐ huì,2
㒓,15,他達切,tà,1
㒔,15,市玉切 徒谷切 他谷切,shǔ dú tū,3
㒕,15,烏江切,yāng,1
㒙,16,彌延切,mián,1
㒚,16,於靳切 烏本切,yìn wěn,1
㒛,16,徒了切,diào,1
㒜,16,演女切,yǔ,2
㒝,17,莫結切 望發切,miè wà,3
㒟,18,奴鳥切,niǎo,1
㒠,18,胡介切,xiè,2
㒡,19,以周切,yóu,1
㒤,20,尺涉切,chè,1
㒥,20,敷戎切,fēng,1
㒦,20,魯猥切 力遂切,lěi lèi,1
人,2,如鄰切,rén,15
什,4,是執切,shí shén,4
仁,4,如鄰切,rén,15
仂,4,盧則切 林直切,lè lì,1
仃,4,當經切 都挺切,dī dǐng,1
仄,4,阻力切,zè,6
仅,4,,fù nú jǐn,1
仆,4,,pū（又读fù） pú,4
仇,4,巨鳩切 巨鳩切 恭于切,qiú chóu jū,6
仈,4,音八,bā,1
仉,4,諸兩切,zhǎng,1
今,4,居吟切,jī,6
介,4,古拜切 居賀切,jiè gè,28
