汉字,笔画,反切,拼音,释义总个数
䚮,9,如乘切,réng,3
䚳,11,支義切,zhì,2
䚴,11,五刮切,wà,2
䚵,11,他口切,tǒu,1
䚶,11,他年切,tiān,1
䚷,11,烏奚切 烏弟切 户禮切,yī yǐ xì,3
䚸,11,下介切,xiè,1
䚻,11,餘招切 以周切,yáo yóu,1
䚽,11,虚到切,hào,1
䚿,11,于禁切 馨侇切,yìn xī,3
䛀,11,甫遠切 方願切 博漫切,fǎn fàn bàn,3
䛁,11,那含切,nán,1
䛃,11,五貫切,wàn,1
䛄,12,於阮切,yuǎn,3
䛅,12,呼甲切,xiá,1
䛈,12,失利切,shì,1
䛉,12,䁕見切,miàn,1
䛊,12,馨奚切 章移切,xī zhī,2
䛋,12,奇寄切,jì,1
䛌,12,徒刀切 蒲襃切,táo páo,1
䛍,12,方味切,fèi,2
䛎,12,呼決切,xuè,1
䛏,12,年題切 女履切 乃計切,ní nǐ nì,3
䛔,13,女加切,ná,1
䛗,13,職雉切,zhǐ,1
䛘,13,如林切 女心切,rén nín,5
䛙,13,許六切,xù,1
䛚,13,離灼切,lüè,1
䛝,14,奴刀切,náo,2
䛞,14,胡笴切,hàn,3
䛠,14,都豆切,dòu,1
䛢,14,他谷切,tū,1
䛣,14,滂丁切 丑鳩切,pīng chōu,2
䛤,14,七玉反,cù,2
䛥,14,許迄切 許既切 許斤切,xī xì xīn,5
䛩,15,安古切 丘駕切 乙格切,wù qià è,2
䛪,15,去仲切,qióng,2
䛫,15,中良切 豬孟切,zhāng zhèng,2
䛬,15,徒刀切,táo,3
䛭,15,下孟切 下耿切,xìng xìng xìng,7
䛮,15,其九切,jiù,1
䛯,15,居御切,jù,1
䛰,15,户袞切,hùn,2
䛱,15,徒私切,tí,1
䛳,15,於劒切 衣廉切,yàn yān,4
䛴,15,居宜切 區里切,jī qǐ,2
䛷,15,委遠切,wǎn,1
䛹,16,倉甸切 翾縣切,qiàn xuàn,2
䛽,16,側洽切 測洽切 實洽切,zhǎ chā shà,3
䛾,17,桑故切,sù,0
䛿,17,各核切,gé,2
䜃,18,都回切,duī,2
䜅,18,以追切 川隹切,wéi chuī,2
䜆,18,之涉切 之涉切 莫卧切,zhé niè mò,2
䜈,18,楚交切 莊交切,chāo zhāo,0
䜊,18,臧曹切 在到切,zāo zào,1
䜋,19,胡對切,huì,6
䜍,19,憐蕭切,liáo,1
䜎,19,郎刀切 郎到切,láo lào,2
䜏,19,土禾切,tuō,2
䜐,19,許規切,huī,2
䜑,19,烏路切,wù,0
䜒,20,烏到切,ào,2
䜓,20,失涉切,shè,1
䜔,20,旬為切,suí,1
䜕,20,莫話切 火犗切,mài hài,2
䜗,20,火禁切 胡紺切,xìn hàn,2
䜙,21,五含切 鄂合切,án è,3
䜚,21,徒合切,tà,3
䜝,21,土緩切,tuǎn,1
䜡,22,乙六切,yù,1
䜢,23,虚偃切,xiǎn,1
言,7,語軒切 牛堰切 魚巾切,yán yàn yín,28
訂,9,徒鼎切,dìng,8
訃,9,芳遇切,fù,2
訄,9,巨鳩切 苦刀切,qiú kāo,2
訅,9,巨鳩切,qiú,2
訆,9,古弔切,jiào,2
訇,9,呼宏切 九竣切,hōng jùn hēng,3
計,9,古詣切,jì,11
訉,10,扶泛切,fàn,1
訊,10,息晋切,xùn,9
訋,10,多嘯切,diào,3
訌,10,户公切,hòng,2
訍,10,楚懈切 初加切 楚嫁切,chài chā chà,4
討,10,他浩切,tǎo,10
訏,10,况于切 火羽切,xū xǔ,3
訐,10,居竭切 九刈切,jié jì,2
訑,10,余支切 徒案切 商支切 唐何切 他可切,yí dàn shī tuó tuǒ,2
訒,10,而振切,rèn,1
訓,10,許運切,xùn,7
訔,10,語巾切,yín,1
訕,10,所晏切,shàn,2
訖,10,居乞切,qì,5
託,10,他各切,tuō,5
記,10,居吏切,jì,11
訛,11,五禾切,é,6
訜,11,敷文切,fēn,2
訝,11,吾駕切,yà,2
訞,11,於喬切,āo,2
訟,11,似用切,sòng,8
訢,11,許斤切 虚其切 魚巾切,xīn xī yín,2
訣,11,古穴切,jué,4
訤,11,何交切 女加切,xiáo ná,0
訥,11,内骨切,nè,3
訦,11,氏任切,chén,2
訩,11,許容切,xiōng,4
訪,11,敷亮切,fǎng,7
訬,11,楚交切 亡沼切 楚絞切,chāo miǎo chǎo,5
設,11,識列切,shè,10
訮,11,五閑切,yán,1
訯,10,所瓦切 所化反,sǎ sà,1
訰,11,之閏切 章倫切,zhùn zhūn,3
許,11,虚吕切 火五切,xǔ hǔ,15
訴,12,桑故切,sù,5
訵,12,丑飢切,chī,1
訶,12,虎何切,hē,1
訷,12,失人切,shēn,1
訹,12,辛聿切,xù,3
診,12,章忍切,zhěn,3
註,12,之戍切,hù,3
証,12,之盛切,zhèng,1
訾,13,將此切 即移切,zǐ zī,10
詀,12,竹咸切 叱涉切 丁兼切 佇陷切 託協切,zhān chè diān zhàn tiē,7
詁,12,公户切,gǔ,2
詂,12,符遇切,fù,1
詃,12,姑泫切,juǎn,1
詄,12,徒結切,dié,2
詅,12,郎丁切,líng,1
詆,12,都禮切 他歷切,dǐ tì,3
詇,12,於亮切,yàng,3
詈,12,力智切,lì,0
詉,12,尼交切 女加切 奴故切,náo ná nù,2
詊,12,普半切,pàn,1
詌,12,古暗切,gàn,1
詍,12,餘制切,yì,1
詎,11,其吕切,jù,4
詏,12,於教切,yào,1
詐,12,側駕切,zhà,4
詑,12,徒河切 徒可切 弋支切 香支切,tuó duò yī xī,6
詒,12,與之切 徒亥切 堂來切,yí dài tái,3
詓,12,口舉切,qǔ,1
詔,12,之少切 之遥切,zhào zhāo,11
評,12,符兵切,píng,5
詖,12,彼義切,bì,4
詗,12,休正切,xiòng,3
詘,12,區勿切 勑律切,qū chù,9
詙,12,蒲八切,bá bó,2
詚,12,當八切,dá,1
詛,12,莊助切,zǔ,2
詜,12,土刀切,tāo,3
詝,12,丁吕切,zhǔ,2
詞,12,似兹切,cí,8
詠,12,為命切,yǒng,6
詡,13,況羽切,xǔ,5
詢,13,相倫切,xún,4
詣,13,五計切,yì,5
詤,13,呼晃切,huǎng,2
詥,13,侯閣切 葛閣切,hé gé,2
試,13,式吏切,shì,7
詧,13,初八切 千結切,chá qiè,0
詨,13,胡教切,iào,3
詩,13,書之切,shī,5
詫,13,丑亞切 都故切,chà dù,4
詬,13,苦候切 呼漏切,gòu hòu,5
詭,13,過委切,guǐ,9
詮,13,此緣切,quán,4
詯,13,荒内切,huì,3
詰,13,去吉切,jié jí,7
話,13,下快切,huà,9
該,13,古哀切,gāi,16
詳,13,似羊切 與章切,xiáng yáng,9
詴,13,烏回切,wēi,1
詵,13,所臻切,shēn,3
詶,13,職救切 市流切,zhòu chóu,0
詷,13,徒東切 徒弄切,tóng dòng,5
詹,13,職廉切 徒站切,zhān dàn,6
詺,13,彌正切,mìng,2
詻,13,五陌切 力灼切 歷各切,è lüè luò,1
詼,13,苦回切,huī,1
詿,13,古賣切,guà,2
誀,13,仍吏切 丑里切,èr chǐ,1
誁,13,補梗切,bìng,2
誂,13,徒了切,tiǎo diào,3
誃,13,余支切 直離切 充豉切 待可切,yí chí chì tuó,0
